name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Simon Adingra,MID,Brighton,1.2,0,0,0,0,0,113,0,0,0,0,223,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,23,0,35588,0,1,0,0,0,-701,756,1457,52,TRUE,0,23
Ben Mee,DEF,Brentford,0.2,0,0,4,0,0,100,0,0,0,0.08,224,0,0,0.3,3,2025-01-26T14:00:00Z,1,0,0,0,0,0,0,0,FALSE,7,0,0,0,0,23,0,35590,0,2,1,0,1,-71,761,832,42,FALSE,0,23
Leon Chiwome,FWD,Wolves,-0.5,0,0,0,0,0,539,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,199221,0,1,0,0,0,-7596,5891,13487,45,TRUE,0,23
Eric da Silva Moreira,MID,Nott'm Forest,0,0,0,0,0,0,428,0,0,0,0,222,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,3,0,0,0,0,23,0,9490,0,0,5,0,0,-241,322,563,44,FALSE,0,23
Luis Guilherme Lira dos Santos,MID,West Ham,0.5,0,0,0,0,0,526,0,0,0,0,221,0,0,0,0,2025-01-26T16:30:00Z,0,0,0,0,0,0,0,0,FALSE,2,0,0,0,0,23,0,2663,0,1,1,0,0,-19,55,74,46,FALSE,0,23
Joe Hodge,MID,Wolves,0,0,0,0,0,0,551,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,19630,0,1,0,0,0,-269,0,269,45,TRUE,0,23
Chiedozie Ogbene,MID,Ipswich,0,0,0,0,0,0,632,0,0,0,0,226,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,23,0,824,0,1,4,0,0,-51,32,83,48,FALSE,0,23
Harrison Armstrong,MID,Everton,0.2,0,0,0,0,0,603,0,0,0,0,223,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,5,0,0,0,0,23,0,18893,0,1,0,0,0,-83,553,636,44,FALSE,0,23
Carney Chukwuemeka,MID,Chelsea,0,0,0,0,0,0,161,0,0,0,0,227,0,0,0,0,2025-01-25T17:30:00Z,0,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,23,0,5082,0,1,3,0,0,-40,95,135,47,FALSE,0,23
Tom King,GK,Wolves,-0.5,0,0,0,0,0,556,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,152215,0,1,0,0,0,-2161,323,2484,40,TRUE,0,23
Wout Faes,DEF,Leicester,1,0,0,13,0,0.5,291,0,0.11,0.11,1.04,229,1,0,2.4,16.4,2025-01-26T14:00:00Z,90,0,0,0,0,0,0,0,FALSE,18,0,0,0,0,23,0,744414,1,2,1,7,2,-31884,5065,36949,40,FALSE,0,23
