player_name_id,element,value,season,event,fixture,total_points,minutes,goals_scored,assists,team_elo,opp_team_elo,position,bonus,bps,clean_sheets,goals_conceded,was_home,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,cbi,defensive_contribution,recoveries,tackles,saves,team_name,opp_team_name
David Raya Martín,1.0,60.0,20252026.0,29.0,283.0,7.0,90.0,0.0,0.0,1248.3856488963465,1076.7573890994313,GK,1.0,25.0,1.0,0.0,false,0.0,0.0,0.0,0.82,1.0,1.0,0.0,8.0,0.0,2.0,Arsenal,Brighton
David Raya Martín,1.0,60.0,20252026.0,30.0,291.0,7.0,90.0,0.0,0.0,1253.8119067896885,1068.5415633193436,GK,0.0,28.0,1.0,0.0,true,0.0,0.0,0.0,1.05,1.0,3.0,0.0,6.0,0.0,3.0,Arsenal,Everton
David Raya Martín,1.0,60.0,20252026.0,32.0,311.0,1.0,90.0,0.0,0.0,1258.9332849668642,1068.1455991534128,GK,0.0,8.0,0.0,2.0,true,0.0,0.0,0.0,1.19,1.0,0.0,0.0,12.0,0.0,1.0,Arsenal,Bournemouth
David Raya Martín,1.0,60.0,20252026.0,33.0,327.0,1.0,90.0,0.0,0.0,1243.9345979022578,1233.4588713048481,GK,0.0,8.0,0.0,2.0,false,0.0,0.0,0.0,1.36,1.0,2.0,0.0,8.0,0.0,2.0,Arsenal,Man City
David Raya Martín,1.0,60.0,20252026.0,34.0,331.0,10.0,90.0,0.0,0.0,1233.6331735912618,1057.8356905624848,GK,3.0,31.0,1.0,0.0,true,0.0,0.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,3.0,Arsenal,Newcastle
David Raya Martín,1.0,60.0,20252026.0,35.0,341.0,6.0,90.0,0.0,0.0,1238.9650570140386,1055.108016124455,GK,0.0,22.0,1.0,0.0,true,0.0,0.0,0.0,0.37,1.0,1.0,0.0,4.0,0.0,1.0,Arsenal,Fulham
David Raya Martín,1.0,61.0,20252026.0,36.0,360.0,9.0,90.0,0.0,0.0,1244.1174929943477,1001.4898263629776,GK,2.0,29.0,1.0,0.0,false,0.0,0.0,0.0,1.15,1.0,3.0,0.0,5.0,0.0,3.0,Arsenal,West Ham
David Raya Martín,1.0,61.0,20252026.0,37.0,361.0,6.0,90.0,0.0,0.0,1248.0843716281652,872.1824437865105,GK,0.0,20.0,1.0,0.0,true,0.01,0.01,0.0,0.19,1.0,0.0,0.0,5.0,0.0,0.0,Arsenal,Burnley
David Raya Martín,1.0,62.0,20252026.0,38.0,373.0,0.0,0.0,0.0,0.0,1250.1452244334544,1037.7495547835335,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Crystal Palace
Kepa Arrizabalaga Revuelta,2.0,45.0,20252026.0,1.0,9.0,0.0,0.0,0.0,0.0,1222.618796168101,1020.755938697936,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Man Utd
